datum,spieltag,heimteam,gastteam,tore_heim,tore_gast
26.01.2025,19,SV Darmstadt 98,SC Paderborn 07,0,1
26.01.2025,19,SSV Ulm 1846,SSV Jahn Regensburg,5,1
31.01.2025,20,1. FC Nürnberg,SV Darmstadt 98,1,0
31.01.2025,20,SV Elversberg,Karlsruher SC,2,2
01.02.2025,20,Fortuna Düsseldorf,SSV Ulm 1846,3,2
01.02.2025,20,Eintracht Braunschweig,1. FC Köln,1,2
01.02.2025,20,SSV Jahn Regensburg,Hertha BSC,2,0
01.02.2025,20,FC Schalke 04,1. FC Magdeburg,2,5
02.02.2025,20,Hamburger SV,Hannover 96,2,2
02.02.2025,20,1. FC Kaiserslautern,Preußen Münster,2,1
02.02.2025,20,SC Paderborn 07,SpVgg Greuther Fürth,1,2
07.02.2025,21,Preußen Münster,Hamburger SV,1,2
07.02.2025,21,SpVgg Greuther Fürth,SSV Jahn Regensburg,2,1
08.02.2025,21,SV Darmstadt 98,SV Elversberg,0,3
08.02.2025,21,SSV Ulm 1846,SC Paderborn 07,0,2
08.02.2025,21,1. FC Magdeburg,1. FC Nürnberg,3,4
08.02.2025,21,Hertha BSC,1. FC Kaiserslautern,0,1
09.02.2025,21,1. FC Köln,FC Schalke 04,1,0
09.02.2025,21,Karlsruher SC,Eintracht Braunschweig,0,2
09.02.2025,21,Hannover 96,Fortuna Düsseldorf,1,1
14.02.2025,22,SC Paderborn 07,Preußen Münster,2,0
14.02.2025,22,1. FC Magdeburg,1. FC Köln,3,0
15.02.2025,22,1. FC Kaiserslautern,Hannover 96,0,0
15.02.2025,22,Eintracht Braunschweig,SV Darmstadt 98,1,0
15.02.2025,22,SV Elversberg,SpVgg Greuther Fürth,2,0
15.02.2025,22,Fortuna Düsseldorf,Hertha BSC,2,1
16.02.2025,22,FC Schalke 04,Karlsruher SC,2,1
16.02.2025,22,1. FC Nürnberg,SSV Ulm 1846,2,0
16.02.2025,22,SSV Jahn Regensburg,Hamburger SV,1,1
21.02.2025,23,Hamburger SV,1. FC Kaiserslautern,3,0
21.02.2025,23,Hertha BSC,1. FC Nürnberg,0,0
22.02.2025,23,Karlsruher SC,1. FC Magdeburg,3,1
22.02.2025,23,SSV Ulm 1846,SV Elversberg,0,0
22.02.2025,23,Preußen Münster,SSV Jahn Regensburg,2,0
22.02.2025,23,Hannover 96,SC Paderborn 07,1,1
23.02.2025,23,1. FC Köln,Fortuna Düsseldorf,1,1
23.02.2025,23,SV Darmstadt 98,FC Schalke 04,2,0
23.02.2025,23,SpVgg Greuther Fürth,Eintracht Braunschweig,3,0
28.02.2025,24,FC Schalke 04,Preußen Münster,1,0
28.02.2025,24,Fortuna Düsseldorf,SpVgg Greuther Fürth,1,2
01.03.2025,24,1. FC Kaiserslautern,SSV Jahn Regensburg,3,0
01.03.2025,24,1. FC Nürnberg,Hannover 96,1,2
01.03.2025,24,Eintracht Braunschweig,SSV Ulm 1846,1,1
01.03.2025,24,Karlsruher SC,1. FC Köln,1,0
02.03.2025,24,SC Paderborn 07,Hamburger SV,2,0
02.03.2025,24,1. FC Magdeburg,SV Darmstadt 98,4,1
02.03.2025,24,SV Elversberg,Hertha BSC,4,0
07.03.2025,25,1. FC Kaiserslautern,SV Elversberg,1,1
07.03.2025,25,SV Darmstadt 98,Karlsruher SC,3,0
08.03.2025,25,Hertha BSC,FC Schalke 04,1,2
08.03.2025,25,SSV Ulm 1846,1. FC Köln,0,1
08.03.2025,25,SpVgg Greuther Fürth,1. FC Magdeburg,1,1
08.03.2025,25,Hamburger SV,Fortuna Düsseldorf,4,1
09.03.2025,25,Hannover 96,Eintracht Braunschweig,1,1
09.03.2025,25,Preußen Münster,1. FC Nürnberg,0,1
09.03.2025,25,SSV Jahn Regensburg,SC Paderborn 07,0,0
14.03.2025,26,FC Schalke 04,Hannover 96,1,2
14.03.2025,26,1. FC Magdeburg,Hamburger SV,0,3
15.03.2025,26,Fortuna Düsseldorf,SSV Jahn Regensburg,1,0
15.03.2025,26,SC Paderborn 07,1. FC Kaiserslautern,5,3
15.03.2025,26,SV Elversberg,Preußen Münster,0,1
15.03.2025,26,1. FC Köln,SV Darmstadt 98,2,1
16.03.2025,26,1. FC Nürnberg,SpVgg Greuther Fürth,3,0
16.03.2025,26,Karlsruher SC,SSV Ulm 1846,0,0
16.03.2025,26,Eintracht Braunschweig,Hertha BSC,1,5
28.03.2025,27,Hamburger SV,SV Elversberg,0,0
28.03.2025,27,SSV Ulm 1846,SV Darmstadt 98,2,1
29.03.2025,27,Hertha BSC,Karlsruher SC,3,1
29.03.2025,27,Hannover 96,1. FC Magdeburg,0,0
29.03.2025,27,SC Paderborn 07,1. FC Köln,1,2
29.03.2025,27,1. FC Kaiserslautern,Fortuna Düsseldorf,3,1
30.03.2025,27,Preußen Münster,Eintracht Braunschweig,1,1
30.03.2025,27,SSV Jahn Regensburg,1. FC Nürnberg,2,1
30.03.2025,27,SpVgg Greuther Fürth,FC Schalke 04,3,3
04.04.2025,28,Karlsruher SC,Hannover 96,1,0
04.04.2025,28,Eintracht Braunschweig,SC Paderborn 07,3,2
05.04.2025,28,1. FC Nürnberg,Hamburger SV,0,3
05.04.2025,28,Fortuna Düsseldorf,Preußen Münster,1,0
05.04.2025,28,SV Darmstadt 98,SpVgg Greuther Fürth,1,0
05.04.2025,28,1. FC Köln,Hertha BSC,0,1
06.04.2025,28,FC Schalke 04,SSV Ulm 1846,2,1
06.04.2025,28,1. FC Magdeburg,1. FC Kaiserslautern,2,0
06.04.2025,28,SV Elversberg,SSV Jahn Regensburg,6,0
11.04.2025,29,Hamburger SV,Eintracht Braunschweig,2,4
11.04.2025,29,SpVgg Greuther Fürth,1. FC Köln,1,1
12.04.2025,29,Hertha BSC,SV Darmstadt 98,1,1
12.04.2025,29,Hannover 96,SV Elversberg,1,3
12.04.2025,29,SSV Ulm 1846,1. FC Magdeburg,1,0
12.04.2025,29,1. FC Kaiserslautern,1. FC Nürnberg,1,2
13.04.2025,29,Preußen Münster,Karlsruher SC,1,1
13.04.2025,29,SSV Jahn Regensburg,FC Schalke 04,2,0
13.04.2025,29,SC Paderborn 07,Fortuna Düsseldorf,1,2
19.04.2025,30,1. FC Nürnberg,SC Paderborn 07,2,3
19.04.2025,30,Eintracht Braunschweig,1. FC Kaiserslautern,2,0
19.04.2025,30,SV Elversberg,Fortuna Düsseldorf,1,1
19.04.2025,30,FC Schalke 04,Hamburger SV,2,2
20.04.2025,30,1. FC Köln,Preußen Münster,3,1
20.04.2025,30,Karlsruher SC,SpVgg Greuther Fürth,1,0
20.04.2025,30,SV Darmstadt 98,Hannover 96,3,1
20.04.2025,30,SSV Ulm 1846,Hertha BSC,2,3
20.04.2025,30,1. FC Magdeburg,SSV Jahn Regensburg,3,0
25.04.2025,31,Hertha BSC,1. FC Magdeburg,1,1
25.04.2025,31,SpVgg Greuther Fürth,SSV Ulm 1846,0,1
26.04.2025,31,Preußen Münster,SV Darmstadt 98,1,1
26.04.2025,31,SSV Jahn Regensburg,Eintracht Braunschweig,1,1
26.04.2025,31,SC Paderborn 07,SV Elversberg,1,1
26.04.2025,31,Fortuna Düsseldorf,1. FC Nürnberg,3,3
27.04.2025,31,Hamburger SV,Karlsruher SC,1,2
27.04.2025,31,1. FC Kaiserslautern,FC Schalke 04,2,1
27.04.2025,31,Hannover 96,1. FC Köln,1,0
02.05.2025,32,FC Schalke 04,SC Paderborn 07,0,2
02.05.2025,32,1. FC Magdeburg,Preußen Münster,0,5
03.05.2025,32,Eintracht Braunschweig,Fortuna Düsseldorf,2,2
03.05.2025,32,SV Darmstadt 98,Hamburger SV,0,4
03.05.2025,32,SSV Ulm 1846,Hannover 96,1,2
03.05.2025,32,1. FC Köln,SSV Jahn Regensburg,1,1
04.05.2025,32,Hertha BSC,SpVgg Greuther Fürth,1,0
04.05.2025,32,1. FC Nürnberg,SV Elversberg,1,3
04.05.2025,32,Karlsruher SC,1. FC Kaiserslautern,2,2
09.05.2025,33,1. FC Nürnberg,1. FC Köln,1,2
09.05.2025,33,Preußen Münster,Hertha BSC,2,0
10.05.2025,33,Fortuna Düsseldorf,FC Schalke 04,2,0
10.05.2025,33,SC Paderborn 07,1. FC Magdeburg,2,1
10.05.2025,33,SV Elversberg,Eintracht Braunschweig,3,0
10.05.2025,33,Hamburger SV,SSV Ulm 1846,6,1
11.05.2025,33,1. FC Kaiserslautern,SV Darmstadt 98,2,1
11.05.2025,33,Hannover 96,SpVgg Greuther Fürth,1,1
11.05.2025,33,SSV Jahn Regensburg,Karlsruher SC,2,2
18.05.2025,34,1. FC Köln,1. FC Kaiserslautern,4,0
18.05.2025,34,FC Schalke 04,SV Elversberg,1,2
18.05.2025,34,Hertha BSC,Hannover 96,1,1
18.05.2025,34,Karlsruher SC,SC Paderborn 07,3,0
18.05.2025,34,Eintracht Braunschweig,1. FC Nürnberg,1,4
18.05.2025,34,SV Darmstadt 98,SSV Jahn Regensburg,3,1
18.05.2025,34,SSV Ulm 1846,Preußen Münster,2,2
18.05.2025,34,SpVgg Greuther Fürth,Hamburger SV,3,2
18.05.2025,34,1. FC Magdeburg,Fortuna Düsseldorf,4,2
